Feature ID	Taxon	Confidence
c8525d793a23e6cc04f9bef292345c2c	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444	0.9999922780822958
e69aed410607f61c35a9f33f4123ac8d	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__NBRC-103111; g__Paenibacillus_G_363720	0.9764264778793736
e51dd1c40ad068bc84138813dcb5ee89	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae	0.9999866729088899
12f4a16b2b9c2c5891c967ab6a0892a9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422; g__Achromobacter; s__Achromobacter denitrificans_593100	0.9159846511627242
cd35c990a7ccf0de60fdf64f2d7a4a0a	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas	0.9313265367701391
e96130a277e98fd53494ea5a647d6b71	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium_A_383312	0.74655410073992
13b5a1d0f4f2380e2967701ebfb04c38	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_616009; f__Xanthomonadaceae_616009; g__Stenotrophomonas_A_615274; s__Stenotrophomonas_A_615274 nitritireducens_A_614483	0.7549917877753167
c7a88f4dbcb94c410e9aa7015f17472c	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_C	0.8529846715423391
66c6671c15bab5d96b10ce1c1e1eaa39	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium	0.9999839800225504
08f8c125c4a8c7eefae2e02c80759a71	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444	0.9999910298413168
6a43174e9a9d2681a1f6711ae2f7d4d3	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae	0.9999858744663537
1dd92cd879ee20e007ec82b44ab1712c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422; g__Achromobacter; s__Achromobacter denitrificans_593100	0.819727343747954
